run_dir,checkpoint_dir,prefix,experiment_name,target_type,model_type,use_lct_riesz,naive_rule,epochs,best_epoch,rmse,mae,mse,mape,r2,directional_accuracy,best_val_loss,test_loss,created_at
experiments\lstm\outputs\experiment_20260617_161624_lstm_log_return_lct_riesz,experiments\lstm\checkpoints\experiment_20260617_161624_lstm_log_return_lct_riesz,experiment,lstm_log_return_lct_riesz,log_return,lct_riesz_lstm,True,,20,18,0.024589329344366306,0.01767759803742306,0.000604635117605714,191.1022886336488,-0.019215409168426456,0.5088919288645691,0.000841493536207876,0.0006046351431961338,2026-06-17T16:17:04
experiments\lstm\outputs\experiment_20260617_161739_lstm_log_return_baseline,experiments\lstm\checkpoints\experiment_20260617_161739_lstm_log_return_baseline,experiment,lstm_log_return_baseline,log_return,plain_lstm,False,,20,16,0.02446607087979103,0.01745127986004837,0.0005985886242949587,160.07906220493945,-0.009023015484514785,0.5020519835841313,0.0008296776330098509,0.0005985886257787766,2026-06-17T16:17:56
experiments\lstm\outputs\naive_20260617_161818_naive_zero_log_return,experiments\lstm\checkpoints\naive_20260617_161818_naive_zero_log_return,naive,naive_zero_log_return,log_return,naive,False,zero_log_return,20,,0.02435673897581716,0.017231219992739445,0.0005932507335360907,100.0,-2.5084334728697755e-05,0.0,,,2026-06-17T16:18:20
experiments\lstm\outputs\experiment_20260617_165504_lstm_volatility_5_lct_riesz,experiments\lstm\checkpoints\experiment_20260617_165504_lstm_volatility_5_lct_riesz,experiment,lstm_volatility_5_lct_riesz,volatility_5,lct_riesz_lstm,True,,20,4,0.011796667854544043,0.009461639953093114,0.00013916137247043278,75.13089729089293,-0.19804589093828873,,0.0001567114373084867,0.0001391613754635021,2026-06-17T16:55:52
experiments\lstm\outputs\experiment_20260617_165615_lstm_volatility_5_baseline,experiments\lstm\checkpoints\experiment_20260617_165615_lstm_volatility_5_baseline,experiment,lstm_volatility_5_baseline,volatility_5,plain_lstm,False,,20,8,0.011440106519770546,0.007575706398803767,0.00013087603718369656,39.19606764002378,-0.12671710394009117,,0.00015241751740282508,0.0001308760357789434,2026-06-17T16:56:30
experiments\lstm\outputs\naive_20260617_165649_naive_historical_volatility_5,experiments\lstm\checkpoints\naive_20260617_165649_naive_historical_volatility_5,naive,naive_historical_volatility_5,volatility_5,naive,False,historical_volatility_5,20,,0.013646206488830805,0.00966588673854477,0.00018621895153580795,60.19194812937534,-0.603166497324142,,,,2026-06-17T16:56:51
experiments\lstm\outputs\experiment_20260618_095354_lstm_volatility_5_lct_riesz_features,experiments\lstm\checkpoints\experiment_20260618_095354_lstm_volatility_5_lct_riesz_features,experiment,lstm_volatility_5_lct_riesz_features,volatility_5,lct_riesz_lstm,True,,20,16,0.012691746404780548,0.009463998684441822,0.00016108042680325997,58.87774165582409,-0.3867479173017905,,0.00014415271430490885,0.0001610804242967065,2026-06-18T09:54:44
experiments\lstm\outputs\experiment_20260618_095605_lstm_volatility_5_baseline_features,experiments\lstm\checkpoints\experiment_20260618_095605_lstm_volatility_5_baseline_features,experiment,lstm_volatility_5_baseline_features,volatility_5,plain_lstm,False,,20,13,0.01101172102397565,0.007399955653602147,0.00012125799990986733,40.77986204846214,-0.04391503156723742,,0.00014658517321843023,0.00012125799814029372,2026-06-18T09:56:20
experiments\lstm\outputs\naive_20260618_095839_naive_historical_volatility_5,experiments\lstm\checkpoints\naive_20260618_095839_naive_historical_volatility_5,naive,naive_historical_volatility_5,volatility_5,naive,False,historical_volatility_5,20,,0.013646206488830805,0.00966588673854477,0.00018621895153580795,60.19194812937534,-0.603166497324142,,,,2026-06-18T09:58:41
experiments\lstm\outputs\experiment_20260622_155535_lstm_volatility_5_lct_signal_features,experiments\lstm\checkpoints\experiment_20260622_155535_lstm_volatility_5_lct_signal_features,experiment,lstm_volatility_5_lct_signal_features,volatility_5,lct_riesz_lstm,True,,20,15,0.014591371743682859,0.012617288515397042,0.00021290812936234656,102.84170007594959,-0.8329347073959887,,0.000144853738860417,0.0002129081271127945,2026-06-22T15:56:26
experiments\lstm\outputs\experiment_20260622_155816_lstm_volatility_5_baseline_signal_features,experiments\lstm\checkpoints\experiment_20260622_155816_lstm_volatility_5_baseline_signal_features,experiment,lstm_volatility_5_baseline_signal_features,volatility_5,plain_lstm,False,,20,6,0.010497984719026663,0.007876970764874714,0.00011020768316091732,57.57584047233924,0.051217592807093815,,0.00014963899862156544,0.00011020768301601027,2026-06-22T15:58:33
experiments\lstm\outputs\volatility_5\lct_signal_features\20260624_103450,experiments\lstm\checkpoints\volatility_5\lct_signal_features\20260624_103450,experiment,lstm_volatility_5_lct_signal_features,volatility_5,lct_riesz_lstm,True,,20,15,0.014591371743682859,0.012617288515397042,0.00021290812936234656,102.84170007594959,-0.8329347073959887,,0.000144853738860417,0.0002129081271127945,2026-06-24T10:35:26
experiments\lstm\outputs\volatility_5\baseline_signal_features\20260624_104709,experiments\lstm\checkpoints\volatility_5\baseline_signal_features\20260624_104709,experiment,lstm_volatility_5_baseline_signal_features,volatility_5,plain_lstm,False,,20,6,0.010497984719026663,0.007876970764874714,0.00011020768316091732,57.57584047233924,0.051217592807093815,,0.00014963899862156544,0.00011020768301601027,2026-06-24T10:47:25
experiments\lstm\outputs\volatility_5\dual_branch_signal_features\20260624_141601,experiments\lstm\checkpoints\volatility_5\dual_branch_signal_features\20260624_141601,experiment,lstm_volatility_5_dual_branch_signal_features,volatility_5,dual_branch_lct_riesz_lstm,True,,20,4,0.011193357521667537,0.008752387062488879,0.00012529125260787123,67.77192512540792,-0.07863746737093713,,0.0001418626380146426,0.00012529125557478999,2026-06-24T14:16:45
experiments\lstm\outputs\volatility_5\residual_lct_signal_features\20260625_163554,experiments\lstm\checkpoints\volatility_5\residual_lct_signal_features\20260625_163554,experiment,lstm_volatility_5_residual_lct_signal_features,volatility_5,residual_auxiliary_lct_riesz_lstm,True,,20,5,0.010671519573653688,0.008156298901219602,0.00011388133001087377,62.123955075883345,0.019591018311474917,,0.00014471075104986647,0.00011388133172491216,2026-06-25T16:36:48

